Time (UTC),Machines > Lathe 1 > MIB > X-Axial > Damage Accumulation,Machines > Lathe 1 > MIB > Y-Vertical > Damage Accumulation
2/29/2020 5:06,1.0155222,1.0038383
2/29/2020 5:16,1.016211,0.9783852
2/29/2020 5:26,1.0087142,0.99842
2/29/2020 5:36,1.0008708,1.0112271
2/29/2020 5:46,1.0005579,0.9990968
2/29/2020 5:56,1.0079465,0.98121125
2/29/2020 6:07,0.99511904,1.0075611
2/29/2020 6:17,0.9940415,1.0040371
2/29/2020 6:26,0.9842155,1.0125006
2/29/2020 6:36,0.98676395,1.0063925
2/29/2020 6:46,0.9903061,0.9915359
2/29/2020 6:56,0.9782802,1.027949
2/29/2020 7:06,0.9761141,1.0254028
2/29/2020 7:17,0.97958136,1.0063771
2/29/2020 7:27,0.9783514,1.0057831
2/29/2020 7:36,0.9702491,1.0142105
2/29/2020 7:46,0.9671189,1.0217879
2/29/2020 7:56,0.96913457,1.0147609
2/29/2020 8:06,0.9805327,0.9814314
2/29/2020 8:16,0.97434473,1.0045682
2/29/2020 8:27,0.9685982,1.001845
2/29/2020 8:37,0.9659581,1.0141956
2/29/2020 8:46,0.96831226,1.0008205
2/29/2020 8:56,0.96731573,1.0073322
2/29/2020 9:06,0.9685311,1.0082766
2/29/2020 9:16,0.9656274,1.0027485
2/29/2020 9:26,0.96784884,0.98430777
2/29/2020 9:37,0.9720209,0.96897084
2/29/2020 9:47,0.9573063,1.0139601
2/29/2020 9:56,0.9701932,0.985537
2/29/2020 10:06,0.96928847,0.9852532
2/29/2020 10:16,0.96377087,0.9970616
2/29/2020 10:26,0.9561844,1.0072508
2/29/2020 10:36,0.9633486,0.9948868
2/29/2020 10:47,0.9590623,1.0059158
2/29/2020 10:57,0.9568393,1.009965
2/29/2020 11:06,0.9668038,0.9982626
2/29/2020 11:16,0.9548308,1.016888
2/29/2020 11:26,0.9567257,1.004218
2/29/2020 11:36,0.96305096,0.9851691
2/29/2020 11:46,0.95055014,1.0082012
2/29/2020 11:57,0.9555554,1.0051982
2/29/2020 12:07,0.9534846,1.0126939
2/29/2020 12:16,0.955736,1.0099188
2/29/2020 12:26,0.9567218,1.0088192
2/29/2020 12:36,0.95904595,1.0070999
2/29/2020 12:46,0.9537569,1.0075833
2/29/2020 12:56,0.96109027,0.9857091
2/29/2020 13:07,0.96748346,0.98811924
2/29/2020 13:17,0.96163946,0.99930465
2/29/2020 13:26,0.9540463,1.009352
2/29/2020 13:36,0.9577717,1.0017549
2/29/2020 13:46,0.9531606,1.0165534
2/29/2020 13:56,0.95779705,0.998696
2/29/2020 14:06,0.9547774,0.9962697
2/29/2020 14:17,0.964096,0.9878039
2/29/2020 14:27,0.95566106,0.9941967
2/29/2020 14:36,0.96462464,0.96566445
2/29/2020 14:46,0.9563549,0.9886264
2/29/2020 14:56,0.94925326,1.0032477
2/29/2020 15:06,0.96637005,0.97958595
2/29/2020 15:16,0.95188355,0.9930846
2/29/2020 15:27,0.9546612,0.9997475
2/29/2020 15:37,0.95624936,0.98948574
2/29/2020 15:46,0.94515115,1.016202
2/29/2020 15:56,0.9477044,1.0082943
2/29/2020 16:06,0.9552821,0.9916174
2/29/2020 16:16,0.94861144,1.0088053
2/29/2020 16:26,0.95927113,0.9953501
2/29/2020 16:37,0.9541564,0.98610955
2/29/2020 16:47,0.95435625,0.9898852
2/29/2020 16:56,0.9734559,0.9379546
2/29/2020 17:06,0.94882524,1.0084932
