Time (UTC),Machines > Bridgeport Mill 1 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Damage Accumulation
2/29/2020 5:00,0.9045366,0.9948719
2/29/2020 5:09,0.90542734,0.9977966
2/29/2020 5:19,0.89650226,0.98798305
2/29/2020 5:29,0.9040679,0.99968785
2/29/2020 5:39,0.9016026,0.98869854
2/29/2020 5:49,0.9024719,0.99356776
2/29/2020 5:59,0.90053153,0.9871929
2/29/2020 6:10,0.89859116,0.980817
2/29/2020 6:19,0.90711224,0.99252945
2/29/2020 6:29,0.9023764,0.99004036
2/29/2020 6:39,0.8979627,0.9951237
2/29/2020 6:49,0.9060645,0.99308246
2/29/2020 6:59,0.90488005,0.9813637
2/29/2020 7:09,0.90135455,0.9805226
2/29/2020 7:20,0.8978298,0.9796789
2/29/2020 7:29,0.90465486,0.9894839
2/29/2020 7:39,0.9055363,0.9925508
2/29/2020 7:49,0.9010298,0.9868147
2/29/2020 7:59,0.89939463,0.9862016
2/29/2020 8:09,0.89713657,0.9816763
2/29/2020 8:19,0.89697087,0.97997504
2/29/2020 8:30,0.8968059,0.97827667
2/29/2020 8:39,0.9032868,0.98870856
2/29/2020 8:49,0.89548767,0.98817044
2/29/2020 8:59,0.8987943,0.9809362
2/29/2020 9:09,0.8998835,0.9780329
2/29/2020 9:19,0.8953575,0.985822
2/29/2020 9:29,0.89699936,0.9807629
2/29/2020 9:40,0.8990382,0.9764653
2/29/2020 9:49,0.8997841,0.9820991
2/29/2020 9:59,0.9012488,0.9813605
2/29/2020 10:09,0.8950547,0.9745683
2/29/2020 10:19,0.891821,0.97603863
2/29/2020 10:29,0.895048,0.97012717
2/29/2020 10:39,0.8972815,0.9749566
2/29/2020 10:50,0.89793897,0.97675663
2/29/2020 10:59,0.89301383,0.98734635
2/29/2020 11:09,0.89786696,0.99114615
2/29/2020 11:19,0.89994764,0.98706967
2/29/2020 11:29,0.8919327,0.9833719
2/29/2020 11:39,0.8995166,0.9784269
2/29/2020 11:49,0.89723134,0.9782087
2/29/2020 12:00,0.8949455,0.9779914
2/29/2020 12:09,0.8982289,0.98551077
2/29/2020 12:19,0.8964174,0.9791015
2/29/2020 12:29,0.8938972,0.9743354
2/29/2020 12:39,0.8958508,0.97677904
2/29/2020 12:49,0.89797676,0.9792275
2/29/2020 12:59,0.8991271,0.9801647
2/29/2020 13:10,0.9002789,0.9811035
2/29/2020 13:20,0.8967489,0.98230976
2/29/2020 13:29,0.8889147,0.9696178
2/29/2020 13:39,0.8898659,0.97036046
2/29/2020 13:49,0.89311373,0.9677387
2/29/2020 13:59,0.8987845,0.9796794
2/29/2020 14:09,0.89800465,0.9792425
2/29/2020 14:20,0.8995855,0.9833496
2/29/2020 14:30,0.8967923,0.9787386
2/29/2020 14:39,0.89769495,0.9758112
2/29/2020 14:49,0.8920152,0.9707323
2/29/2020 14:59,0.8937689,0.9747284
2/29/2020 15:09,0.8927585,0.98258287
2/29/2020 15:19,0.8927914,0.98104304
2/29/2020 15:30,0.8928257,0.97950405
2/29/2020 15:40,0.89997494,0.9791307
2/29/2020 15:49,0.89712083,0.9764094
2/29/2020 15:59,0.8904977,0.97786075
2/29/2020 16:09,0.89888215,0.9714945
2/29/2020 16:19,0.89393616,0.97937125
2/29/2020 16:29,0.8960736,0.98052245
2/29/2020 16:40,0.8982122,0.9816745
2/29/2020 16:50,0.8968992,0.98056906
2/29/2020 16:59,0.897441,0.97341996
2/29/2020 17:09,0.8929646,0.98118764
2/29/2020 17:19,0.89366126,0.9706653
2/29/2020 17:29,0.8924147,0.96601397
2/29/2020 17:39,0.8950014,0.97094184
2/29/2020 17:50,0.8975897,0.9758708
2/29/2020 18:00,0.89643085,0.9801087
2/29/2020 18:09,0.8926022,0.97633237
2/29/2020 18:19,0.89937246,0.9722274
2/29/2020 18:29,0.89611983,0.9727476
2/29/2020 18:39,0.88977945,0.9775428
2/29/2020 18:49,0.8941659,0.9781124
2/29/2020 18:59,0.89466965,0.974719
2/29/2020 19:10,0.89910936,0.9788969
2/29/2020 19:19,0.8954712,0.97640675
2/29/2020 19:29,0.8929938,0.98356014
2/29/2020 19:39,0.895177,0.97383803
2/29/2020 19:49,0.8965423,0.9745926
2/29/2020 19:59,0.89294803,0.9809117
2/29/2020 20:09,0.8954705,0.98124343
2/29/2020 20:20,0.897992,0.98157436
2/29/2020 20:29,0.8926734,0.9790779
2/29/2020 20:39,0.8937391,0.97217137
2/29/2020 20:49,0.89657795,0.97469085
2/29/2020 20:59,0.8956413,0.97727984
2/29/2020 21:09,0.89398456,0.9796346
2/29/2020 21:20,0.892328,0.9819878
2/29/2020 21:30,0.89235806,0.97655326
2/29/2020 21:39,0.89299095,0.98502237
2/29/2020 21:49,0.90434587,0.9808058
2/29/2020 21:59,0.89737236,0.9829809
2/29/2020 22:09,0.9007343,0.9833042
2/29/2020 22:19,0.89539695,0.9841253
2/29/2020 22:29,0.89550304,0.9774625
2/29/2020 22:40,0.8983667,0.97610325
2/29/2020 22:49,0.8951545,0.9843301
2/29/2020 22:59,0.8941623,0.98175544
2/29/2020 23:09,0.90119743,0.9824832
2/29/2020 23:19,0.90016794,0.9826731
2/29/2020 23:29,0.8958856,0.9766963
2/29/2020 23:39,0.8924533,0.97121495
2/29/2020 23:50,0.89847624,0.983918
2/29/2020 23:59,0.89453566,0.98018426
3/1/2020 0:09,0.8979875,0.9808164
3/1/2020 0:19,0.89386284,0.97592455
3/1/2020 0:29,0.89682496,0.979443
3/1/2020 0:39,0.89381146,0.970588
3/1/2020 0:50,0.9018253,0.98294693
3/1/2020 1:00,0.89857924,0.979783
